STATION_ID,NAME,BRAND_ID,ADDRESS,CITY,POSTCODE,AREA_ID
1,53 Mile Roadhouse,1,31 South Western Hwy,PINJARRA,6208,1
2,7-Eleven Ascot,2,194 Great Eastern Hwy,ASCOT,6104,2
3,7-Eleven Balcatta,2,174 Balcatta Rd,BALCATTA,6021,3
4,7-Eleven Balga,2,102 Princess Rd,BALGA,6061,3
5,7-Eleven Banksia Grove,2,81 Ghost Gum Bvd,BANKSIA GROVE,6031,3
6,7-Eleven Bassendean,2,302-318 Collier Rd,BASSENDEAN,6054,3
7,7-Eleven Bibra Lake,2,35 Port Kembla Dr,BIBRA LAKE,6163,2
8,7-Eleven Butler,2,270 Butler Bvd,BUTLER,6036,3
9,7-Eleven Byford South,2,25 Abernethy Rd,BYFORD,6122,2
10,7-Eleven Canning Vale,2,215 Campbell Rd,CANNING VALE,6155,2
11,7-Eleven Carlisle,2,44 Archer St (Cnr Orrong Rd),CARLISLE,6101,2
12,7-Eleven Caversham,2,2131 West Swan Rd,CAVERSHAM,6055,3
13,7-Eleven Cockburn Central,2,814 North Lake Rd,COCKBURN CENTRAL,6164,2
14,7-Eleven Forrestdale,2,2 Haydock St,FORRESTDALE,6112,2
15,7-Eleven Gosnells,2,303 Corfield St,GOSNELLS,6110,2
16,7-Eleven Greenfields South,2,13 Lakes Rd,GREENFIELDS,6210,4
17,7-Eleven Greenfields,2,1 Eaglemont St,GREENFIELDS,6210,4
18,7-Eleven Harrisdale,2,120 Yellowwood Ave,HARRISDALE,6112,2
19,7-Eleven Haynes,2,1256 Armadale Rd,ARMADALE,6112,2
20,7-Eleven Joondalup,2,8 Buick Way,JOONDALUP,6027,3
21,7-Eleven Kelmscott Central,2,4 Church St,KELMSCOTT,6111,2
22,7-Eleven Kelmscott,2,105 Champion Dr,KELMSCOTT,6111,2
23,7-Eleven Landsdale,2,8 Mullingar Way,LANDSDALE,6065,3
24,7-Eleven Maddington South,2,1969 Albany Hwy,MADDINGTON,6109,2
25,7-Eleven Malaga,2,750 Marshall Rd (Cnr Guadalupe Rd),MALAGA,6090,3
26,7-Eleven Malvern Springs,2,324 The Broadway,ELLENBROOK,6069,3
27,7-Eleven Mandurah,2,296-298 Pinjarra Rd,MANDURAH,6210,4
28,7-Eleven Middle Swan,2,40-42 Great Northern Hwy,MIDDLE SWAN,6056,5
29,7-Eleven Midvale,2,231 Morrison Rd,MIDVALE,6056,5
30,7-Eleven Morley,2,162 Russell St,MORLEY,6062,3
31,7-Eleven Queens Park,2,235 Welshpool Rd,QUEENS PARK,6107,2
32,7-Eleven Rockingham,2,129 Dixon Rd,EAST ROCKINGHAM,6168,2
33,7-Eleven Southern River,2,481 Balfour St,SOUTHERN RIVER,6110,2
34,7-Eleven Success,2,660 Beeliar Dr,SUCCESS,6164,2
35,7-Eleven Thornlie,2,125 Murdoch Rd,THORNLIE,6108,2
36,7-Eleven Wangara,2,79 Gnangara Rd,WANGARA,6065,3
37,7-Eleven Wanneroo South,2,929-931 Wanneroo Rd,WANNEROO,6065,3
38,7-Eleven Wanneroo,2,990 Wanneroo Rd,WANNEROO,6065,3
39,7-Eleven Wattle Grove,2,332 Hale Rd,WATTLE GROVE,6107,5
40,86 On South,3,86 South Coast Hwy,ALBANY,6330,6
41,BOC Gas & Gear,4,287 Place Rd,GERALDTON,6530,7
42,BP 2go Armadale,5,3249 Albany Hwy,ARMADALE,6112,2
43,BP 2go Australind,5,80 Old Coast Rd,AUSTRALIND,6233,8
44,BP 2go Bellevue,5,59 Great Eastern Hwy,BELLEVUE,6056,5
45,BP 2go Burrendah,5,69 Pinetree Gully Rd (Cnr Burrendah Bvd),WILLETTON,6155,2
46,BP 2go Cannington,5,1443 Albany Hwy,CANNINGTON,6107,2
47,BP 2go Collins Road,5,121 Collins Rd (Cnr Willeri Dr),WILLETTON,6155,2
48,BP 2go Morrison Road,5,226 Morrison Rd,MIDVALE,6056,5
49,BP 2go Noranda,5,40 Benara Rd,NORANDA,6062,3
50,BP 2go Silver Sands,5,187 Mandurah Tce,MANDURAH,6210,4
51,BP 2go Woodvale,5,941 Whitfords Ave (Cnr Trappers Dr),WOODVALE,6026,3
52,BP Allway,5,35 Albany Hwy,ALBANY,6330,6
53,BP Applecross,5,848 Canning Hwy,APPLECROSS,6153,2
54,BP Attadale,5,530 Canning Hwy (Cnr Hislop St),ATTADALE,6156,2
55,BP Augusta,5,100-102 Blackwood Ave,AUGUSTA,6290,9
56,BP Balcatta,5,53 Erindale Rd,BALCATTA,6021,3
57,BP Baldivis Northbound Travel Centre,5,Lot 191 Paparone Rd,BALDIVIS,6171,2
58,BP Baldivis Southbound Travel Centre,5,Lot 192 Leary Rd,BALDIVIS,6171,2
59,BP Baldivis West,5,1/909 Mandurah Rd,BALDIVIS,6171,2
60,BP Ballajura,5,2 Illawarra Cres North (Cnr Alexander Dr),BALLAJURA,6066,3
61,BP Baskerville,5,1084 Great Northern Hwy,BASKERVILLE,6056,5
62,BP Beeliar,5,701 Beeliar Dr,COCKBURN CENTRAL,6164,2
63,BP Beldon,5,261 Eddystone Ave,BELDON,6027,3
64,BP Bibra Lake,5,2 Wellard St,BIBRA LAKE,6163,2
65,BP Broome Central Service Centre,5,2 Coghlan St (Cnr Frederick St),BROOME,6725,10
66,BP Bull Creek,5,83 Wheatley Dr (Cnr Parry Ave),BULL CREEK,6149,2
67,BP Busselton,5,24 Albert St,BUSSELTON,6280,11
68,BP Canning Vale OPT,5,13 Bannister Rd,CANNING VALE,6155,2
69,BP Carnarvon,5,1134 North West Coastal Hwy,CARNARVON,6701,12
70,BP Caversham,5,40 Bennett St,CAVERSHAM,6055,3
71,BP Clarkson,5,28K Caloundra Rd,CLARKSON,6030,3
72,BP Colac,5,138 Loch St,DERBY,6728,13
73,BP Connect Ascot (WA),5,210 Great Eastern Hwy (Cnr Resolution Dr),ASCOT,6104,2
74,BP Connect Beaumauris,5,2 Prendiville Ave (Cnr Marmion Ave),OCEAN REEF,6027,3
